match_id,season,date,team1,team2,venue,winner,toss_winner,toss_decision,home_team,home_wins,toss_win_game_win,toss_winner_home
1226884,2020,2021-01-30,Perth Scorchers,Sydney Sixers,"Manuka Oval, Canberra",Sydney Sixers,Perth Scorchers,bat,Sydney Sixers,Win,No,away
1226885,2020,2021-01-31,Sydney Thunder,Brisbane Heat,"Manuka Oval, Canberra",Brisbane Heat,Brisbane Heat,field,Sydney Thunder,Lose,Yes,away
1226886,2020,2021-02-06,Sydney Sixers,Perth Scorchers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Perth Scorchers,field,Sydney Sixers,Win,No,away
1269638,2021,2021-12-05,Sydney Sixers,Melbourne Stars,"Sydney Cricket Ground, Sydney",Sydney Sixers,Melbourne Stars,field,Sydney Sixers,Win,No,away
1269639,2021,2021-12-06,Brisbane Heat,Sydney Thunder,"Manuka Oval, Canberra",Sydney Thunder,Sydney Thunder,field,Sydney Thunder,Win,Yes,home
1269640,2021,2021-12-07,Melbourne Renegades,Adelaide Strikers,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades,Win,Yes,home
1269641,2021,2021-12-08,Sydney Sixers,Hobart Hurricanes,"Aurora Stadium, Launceston",Sydney Sixers,Hobart Hurricanes,field,Hobart Hurricanes,Lose,No,home
1269642,2021,2021-12-08,Perth Scorchers,Brisbane Heat,Perth Stadium,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
1269643,2021,2021-12-09,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,Win,Yes,home
1269644,2021,2021-12-10,Melbourne Stars,Sydney Thunder,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,field,Melbourne Stars,Win,No,away
1269645,2021,2021-12-11,Hobart Hurricanes,Sydney Sixers,"Sydney Cricket Ground, Sydney",Hobart Hurricanes,Hobart Hurricanes,bat,Sydney Sixers,Lose,Yes,away
1269646,2021,2021-12-11,Perth Scorchers,Adelaide Strikers,Sydney Showground Stadium,Perth Scorchers,Perth Scorchers,bat,NA,Neutral,Yes,neutral
1269647,2021,2021-12-12,Sydney Thunder,Melbourne Stars,Sydney Showground Stadium,Melbourne Stars,Melbourne Stars,field,Sydney Thunder,Lose,Yes,away
1269648,2021,2021-12-13,Melbourne Renegades,Brisbane Heat,Carrara Oval,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,Win,Yes,home
1269649,2021,2021-12-14,Perth Scorchers,Hobart Hurricanes,"Bellerive Oval, Hobart",Perth Scorchers,Perth Scorchers,bat,Hobart Hurricanes,Lose,Yes,away
1269650,2021,2021-12-15,Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,Sydney Sixers,field,Melbourne Stars,Lose,Yes,away
1269651,2021,2021-12-19,Sydney Thunder,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,field,Brisbane Heat,Lose,No,home
1269652,2021,2021-12-20,Perth Scorchers,Hobart Hurricanes,"Bellerive Oval, Hobart",Perth Scorchers,Perth Scorchers,bat,Hobart Hurricanes,Lose,Yes,away
1269653,2021,2021-12-21,Adelaide Strikers,Sydney Sixers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Adelaide Strikers,bat,Sydney Sixers,Win,No,away
1269654,2021,2021-12-22,Perth Scorchers,Melbourne Renegades,"Docklands Stadium, Melbourne",Perth Scorchers,Perth Scorchers,bat,Melbourne Renegades,Lose,Yes,away
1269655,2021,2021-12-23,Brisbane Heat,Adelaide Strikers,Adelaide Oval,Brisbane Heat,Brisbane Heat,bat,Adelaide Strikers,Lose,Yes,away
1269656,2021,2021-12-24,Hobart Hurricanes,Melbourne Stars,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,Win,Yes,home
1269657,2021,2021-12-26,Sydney Sixers,Sydney Thunder,Sydney Showground Stadium,Sydney Sixers,Sydney Thunder,field,Sydney Thunder,Lose,No,home
1269658,2021,2021-12-26,Melbourne Renegades,Perth Scorchers,"Docklands Stadium, Melbourne",Perth Scorchers,Melbourne Renegades,bat,Melbourne Renegades,Lose,No,home
