match_id,date,team1,team2,winner,result,winner_by_runs,winner_by_wickets,venue,toss_winner,toss_decision,home_team
1023597,2016-12-29,Melbourne Renegades,Perth Scorchers,Perth Scorchers,,,4,"Docklands Stadium, Melbourne",Perth Scorchers,field,Melbourne Renegades
1023599,2016-12-30,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,,,7,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,field,Brisbane Heat
1023601,2016-12-31,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,,48,,Adelaide Oval,Sydney Sixers,field,Adelaide Strikers
1023603,2017-01-01,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,,7,,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
1023605,2017-01-01,Perth Scorchers,Sydney Thunder,Perth Scorchers,,50,,Western Australia Cricket Association Ground,Sydney Thunder,field,Perth Scorchers
1023607,2017-01-02,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,,,8,"Bellerive Oval, Hobart",Hobart Hurricanes,field,Hobart Hurricanes
1023609,2017-01-03,Brisbane Heat,Sydney Sixers,Sydney Sixers,,,3,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,field,Brisbane Heat
1023611,2017-01-04,Sydney Thunder,Melbourne Stars,Sydney Thunder,,,6,Sydney Showground Stadium,Sydney Thunder,field,Sydney Thunder
1023613,2017-01-05,Perth Scorchers,Brisbane Heat,Brisbane Heat,,,9,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
1023615,2017-01-06,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,,,5,Adelaide Oval,Adelaide Strikers,field,Adelaide Strikers
1023617,2017-01-07,Melbourne Renegades,Melbourne Stars,Melbourne Stars,,46,,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
1023619,2017-01-08,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,,,6,"Bellerive Oval, Hobart",Sydney Thunder,field,Hobart Hurricanes
1023621,2017-01-09,Sydney Sixers,Melbourne Renegades,Sydney Sixers,,,6,"Sydney Cricket Ground, Sydney",Melbourne Renegades,bat,Sydney Sixers
1023623,2017-01-10,Melbourne Stars,Adelaide Strikers,Melbourne Stars,,,2,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
1023625,2017-01-11,Brisbane Heat,Perth Scorchers,Perth Scorchers,,27,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,field,Brisbane Heat
1023627,2017-01-12,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,,,2,"Docklands Stadium, Melbourne",Hobart Hurricanes,field,Melbourne Renegades
1023629,2017-01-14,Sydney Sixers,Sydney Thunder,Sydney Thunder,,,8,"Sydney Cricket Ground, Sydney",Sydney Sixers,bat,Sydney Sixers
1023631,2017-01-14,Perth Scorchers,Melbourne Stars,Melbourne Stars,,,7,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
1023633,2017-01-16,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,,6,,Adelaide Oval,Adelaide Strikers,field,Adelaide Strikers
1023635,2017-01-17,Melbourne Stars,Brisbane Heat,Brisbane Heat,,,7,Melbourne Cricket Ground,Melbourne Stars,bat,Melbourne Stars
1023637,2017-01-18,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,,77,,Sydney Showground Stadium,Sydney Thunder,field,Sydney Thunder
1023639,2017-01-20,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,,1,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,field,Brisbane Heat
1023641,2017-01-21,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,,,7,"Bellerive Oval, Hobart",Perth Scorchers,field,Hobart Hurricanes
1023643,2017-01-21,Melbourne Stars,Sydney Sixers,Sydney Sixers,,,3,Melbourne Cricket Ground,Sydney Sixers,field,Melbourne Stars
1023645,2017-01-24,Perth Scorchers,Melbourne Stars,Perth Scorchers,,,7,Western Australia Cricket Association Ground,Perth Scorchers,field,Perth Scorchers
1023647,2017-01-25,Brisbane Heat,Sydney Sixers,,tie,,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,field,Brisbane Heat
1023649,2017-01-28,Perth Scorchers,Sydney Sixers,Perth Scorchers,,,9,Western Australia Cricket Association Ground,Perth Scorchers,field,Perth Scorchers
1114856,2017-12-19,Sydney Thunder,Sydney Sixers,Sydney Thunder,,,5,Sydney Showground Stadium,Sydney Thunder,field,Sydney Thunder
1114857,2017-12-20,Brisbane Heat,Melbourne Stars,Brisbane Heat,,15,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,field,Brisbane Heat
1114858,2017-12-21,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,,,7,"Bellerive Oval, Hobart",Melbourne Renegades,field,Hobart Hurricanes
1114859,2017-12-22,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,,53,,Adelaide Oval,Adelaide Strikers,bat,Adelaide Strikers
1114860,2017-12-23,Sydney Sixers,Perth Scorchers,Perth Scorchers,,,6,"Sydney Cricket Ground, Sydney",Perth Scorchers,field,Sydney Sixers
1114861,2017-12-23,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,,,7,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
1114862,2017-12-26,Perth Scorchers,Melbourne Stars,Perth Scorchers,,13,,Western Australia Cricket Association Ground,Melbourne Stars,field,Perth Scorchers
1114863,2017-12-27,Brisbane Heat,Sydney Thunder,Brisbane Heat,,,6,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,bat,Brisbane Heat
1114864,2017-12-28,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,,6,,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
1114865,2017-12-29,Melbourne Renegades,Perth Scorchers,Perth Scorchers,,,3,"Docklands Stadium, Melbourne",Perth Scorchers,field,Melbourne Renegades
1114866,2017-12-30,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,,57,,"Aurora Stadium, Launceston",Hobart Hurricanes,field,Hobart Hurricanes
1114867,2017-12-31,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,,56,,Adelaide Oval,Adelaide Strikers,bat,Adelaide Strikers
1114869,2018-01-01,Perth Scorchers,Sydney Sixers,Perth Scorchers,,,6,Western Australia Cricket Association Ground,Perth Scorchers,field,Perth Scorchers
1114868,2018-01-01,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,,9,,Sydney Showground Stadium,Sydney Thunder,field,Sydney Thunder
1114870,2018-01-02,Melbourne Stars,Brisbane Heat,Brisbane Heat,,,9,Melbourne Cricket Ground,Brisbane Heat,field,Melbourne Stars
1114871,2018-01-03,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,,,8,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,field,Melbourne Renegades
1114872,2018-01-04,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,,7,,"Bellerive Oval, Hobart",Hobart Hurricanes,bat,Hobart Hurricanes
1114873,2018-01-05,Brisbane Heat,Perth Scorchers,Brisbane Heat,,49,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Perth Scorchers,field,Brisbane Heat
1114874,2018-01-06,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,,,6,Melbourne Cricket Ground,Melbourne Renegades,field,Melbourne Stars
1114875,2018-01-07,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,,25,,Sydney Showground Stadium,Adelaide Strikers,bat,Sydney Thunder
1114877,2018-01-08,Perth Scorchers,Melbourne Renegades,Perth Scorchers,,,5,Western Australia Cricket Association Ground,Perth Scorchers,field,Perth Scorchers
